Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30
disappearance;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
   Austria;13401239854;13020859699;12123339637;13350009818;10862189956;10117699957;10757880005;10870795972;1104738197;11232972894;8747312789;10126639738;9260268695;719572364;9958237748;7720661355;6124706464;8468156569;9078868183;8857158476;9028543286;11173456428;12690194578;12490;;;;;
   Belgium;;;;;;;;;;8344924752;11333605635;8842332676;1484300964;15794185707;13962354379;11580377555;15374130848;11031183459;6499305163;934292881;8706651789;9344687495;914636559;12450;;;;;
   Belgium/Luxembourg;11241099836;7081569799;6963729793;7894369842;9582149904;10730149839;10386370711;8862637645;13094064766;;;;;;;;;;;;;;;;;;;;
   Bulgaria;1017829982;167610014;1748780121;3269550058;3527640061;3934080072;2464749948;2749180026;3241600044;3630424046;2750848163;350399596;3405686971;3973146976;3641907962;4300139857;4203825188;3641899682;4447178889;4092759028;3953579912;3595197507;3759412509;4190;;;;;
   Croatia;;;134545004;1318899998;1638620011;2884810046;3044689979;3613960026;3197300002;3371680041;3271239955;3367679964;3548629948;3754279963;3700095474;3737530593;3861328524;3863344636;3771421853;365637529;3698385933;3671531434;3603641197;3870;;;;;
   Cyprus;305709991;446969996;393039993;775160004;453690006;426779996;517409994;464959993;462059995;539413;667969972;528910969;513787973;530959969;598123959;696475053;554956657;692840491;772930951;754378673;739056481;807935252;853983201;890;;;;;
   Czech Republic;659433;525274;4721560042;4483950038;5087240003;5114539975;4749920028;4845799989;5234079971;5576873572;5602263965;6330506651;6415285778;6226632594;6046831455;6564660993;6310135547;6789607778;621412751;5251680463;469731678;5724584702;685226286;6370;;;;;
   Denmark;8651389994;9085420009;958834999;8905559968;9084830013;757796998;895013997;8084571944;8536600935;8688648934;7906439887;868401388;8045923848;7240392818;8488462806;7945496071;8224936613;7942843231;6883443275;6762529948;8064887504;7622586282;7998243258;8220;;;;;
   Estonia;;;129090002;441889984;631639953;828480035;842140102;988619984;895309963;952534046;973386033;1069025036;1108098218;1143622634;128524104;144660116;166942772;1011320074;1538600031;1234939484;1047827036;666144089;1039805131;1200;;;;;
   Finland;1070434998;9655539994;10303279992;11288639924;10495079937;7346779959;9006418949;9394252962;10013650968;9790139933;9672189943;9474328339;9695858925;9658931931;10343603933;11022406119;10468443604;10569026471;11149218201;1058406243;10804242147;10929770746;10820259846;10950;;;;;
   France;52051723628;55569880327;56144526969;55067800365;51108720375;53126817079;55124060067;54869108464;53506906081;55784365123;54020806777;52528193178;55257153235;53936799911;49291171668;47873583972;52775864598;56277542717;51515666778;56767497713;57128985095;59619527905;57902946384;57070;;;;;
   Germany;72792569607;1,23772E+11;95704019513;1,13247E+11;82139449418;1,12315E+11;1,05937E+11;96700681574;99761655597;97480071601;87698806534;90593280715;84979996819;94985987369;1,04447E+11;86645070937;91508529671;86266812829;95345082725;88969330624;92919588588;94603495609;88297429627;93780;;;;;
