Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30
domestic_consumption;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Angola;20;30;35;20;25;10;20;40;30;20;20;20;20;15;15;15;30;30;30;30;30;30;30;30;30;30;30;30;30
Bolivia (Plurinational State of);25;27;275;285;295;305;315;325;33;34;35;365;375;385;45;41;42;435;45;46;475;49;505;52;535;55;57;585;60
Brazil;8200;8500;8900;9100;9300;10100;11000;11500;12200;12700;13200;13590;13750;14200;14946;15538;16331;17110;17660;18390;19132;19720;20330;20085;20333;20508;21225;21997;22250
Burundi;2;16;17;191;2;2;2;2;2;2;2;2;2;2;2;1906;156;1357;1435;1399;2;2;2;2;2;2;2;2;2
Ecuador;350;350;350;350;350;350;300;300;300;230;200;200;150;150;150;150;150;150;150;150;150;150;150;155;155;155;155;155;155
Indonesia;1242;1280;1319;1359;1400;1443;1486;1532;1578;1626;1676;2000;1779;1833;2000;2500;2833;3333;3333;3333;3333;3667;3900;4250;4417;4550;4650;4750;4800
Madagascar;350;300;350;360;166666;167;167;167;167;56;891;128;217;333;467;467;467;467;467;467;467;450;430;410;390;370;360;365;375
Malawi;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Papua New Guinea;3;3;3;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;143;1236;1711;2039;1924;18;2;2;2
Paraguay;15;15;15;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20
Peru;190;190;200;200;200;200;200;200;200;200;200;200;220;220;220;220;220;220;250;250;250;250;250;250;250;250;250;250;250
