Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30
exports;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Angola;8435;70501;8025;38878;8302;40559;51831;50494;53929;50114;21505;1425;9345;17298;567;4665;541;3916;6105;6925;437;7575;8375;552;9375;10515;10945;9055;93233967
Benin;0;0;0;1805;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bolivia (Plurinational State of);156442;73523;962040001;47319;843210002;939580001;1234450001;1109550001;970389999;123709;106347;69555;79148;731590001;93278;842137507;925442368;840471555;681538912;826087731;782680061;743088833;6267578;548505333;617512667;302801583;224563417;261199916;224596336
Brazil;1,69358E+11;2,11828E+11;1,87907E+11;1,78377E+11;1,72731E+11;1,44684E+11;1,52506E+11;1,68013E+11;1,81444E+11;2,31492E+11;1,80163E+11;23172486512;2,79818E+11;2,57108E+11;2,64785E+11;2,61981E+11;2,73689E+11;2,81836E+11;2,95103E+11;3,0378E+11;3,31666E+11;3,3806E+11;2,85494E+11;3,16506E+11;3,73352E+11;3,75628E+11;3,42692E+11;3,09246E+11;3,53826E+11
Burundi;584773;687851;645858;417609;507803;528202;224076;528764;373841;408748;444242;303166;288607;47598;338925;371441;280927;356114;2506982333;28883;3071189581;2178457992;3920069167;1947158834;252178;23018855;2612954333;1688762643;2017252364
Cameroon;26112590004;17521790001;1645851;70453;545889;407269;563549;136803;745718;1154047;1204964;1125159;639688;814341;734325;7043954;7391189167;72062075;5270159667;6177570333;7938456667;4902830667;6218128;2719492167;3750338667;3901427167;2811289667;2450171167;28741525
Central African Republic;196698;14095;99975;137197;136676;231542;98328;202778;10232;194884;202816;94316;95435;3983;6392;465612127;16517692;1219396667;32633;61582;95194;77943;77692;10;75027;43214;80018;181126667;38528
Colombia;1,39439E+11;1,25992E+11;1,65644E+11;1,35684E+11;1,17681E+11;98141969996;1,05884E+11;1,09189E+11;1,12599E+11;99953100014;91766609102;99436300006;1,02734E+11;1,02444E+11;1,01943E+11;1,08712E+11;1,09449E+11;1,13004E+11;1,10852E+11;78939267953;78216345037;7733625254;7170203291;9669907367;1,09544E+11;1,27164E+11;1,28314E+11;1,29846E+11;1,2808E+11
Congo;168;924;336;504;1017;19149;12634;267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Costa Rica;2265644;23996400001;24313400009;23639200001;21049679999;20670109998;24301340004;20992390003;20445580013;21949110035;19649800407;20182970002;17840340019;17018120002;14239400005;14803359848;13103694086;13638501555;1440082759;12356451535;11999826173;12430599349;13736671636;13439515865;12089184979;1128190321;10069283536;9871546413;12079462959
Côte d'Ivoire;42828659998;3804734001;45463679999;40331070005;24439930001;24939459999;27506029989;47129820006;4365288002;240601;61096138;40945219997;32532150024;26466490009;25727339994;1753849255;17510699381;21956015148;14902354749;18065257164;19120534425;7722421667;17117656167;19620707667;148915115;14183751666;14320436;8546205832;15224575667
Cuba;1817789999;121429;16271;116195;1357250001;122287;1121710001;1066630001;151941;774130001;11291898;108625;5742;5014;24838;23684;159333333;1564;385;7462;526;9755;15312;12415;13241;1279605;154021;151269672;333468849
Democratic Republic of Congo;1838636;1417957;954229;919506;76101;105139;881561;544253;640369;487112;281328;133054;179221;211869;252586;15753;1380938333;1999877167;2032036167;1610017333;1621096;1316650667;1463839333;1401253333;150577;128285;1709553333;886189908;1879996667
Dominican Republic;535207;4762630001;3694670007;3314320003;3323130004;4510180003;4527040004;3069770001;3595050006;1605920023;1548670095;973850021;1168180034;151438005;455640004;417670926;1246719635;778296446;816146814;102396398;411307737;885978933;1373830166;647233119;448342722;191439671;193625362;243960478;322031773
Ecuador;17837159997;14163839994;12734350006;15986660008;21452509996;15399739994;15394110001;10449809993;10564159999;9880260009;69665018;7563890008;5652889991;6214529993;7039210016;9934850211;10147792186;9911147872;8684560753;10862174004;12015527269;15322566057;15795909418;126212591;11291651844;8690484943;9226263392;6951462968;4826993325
El Salvador;2509873;21482100002;21200920003;29470709997;20929550001;18074980001;23141469997;27721260003;16842470005;18898150003;253657276;15329139997;15330990005;13040299995;13275330002;12798806251;12928146082;12103587142;14382105592;1309200353;10817666259;182630685;10439860098;1102743425;46164911;5758640571;4959930146;5271010812;5714240657
Equatorial Guinea;7068;3321;2766;2463;849;3385;1659;112;1669;1036;179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;580008
Ethiopia;1074101;841329;734461;1166778;1475325;1276118;1838231;1979733;1917061;1818087;1981856;1376062;2054678;2229143;2490944;2435069;293556;2604008;285192097;18514974532;33241025511;26754190125;32025924066;28700752483;311669037;29849748167;300072445;37734063333;358904802
Gabon;2314;3338;1007;2178;5039;2946;1681;0;1765;25;584;2024;25;95;0;0;1091;403;421;675;81;7523333;0;0;0;0;0;0;168127
