Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30
exports_crop_year;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Angola;79345;74331;6752;27608;11802;48109;50925;5433;55344;39939;19785;1069;1164;13013;477;4965;5095;5631;761;342;497;8715;779;4935;9405;10515;1483;5006;103874
Bolivia (Plurinational State of);111977;82936;100935;36523;85944;110485;105079;109219;100985;122702;112604;63516;89168;64823;1098071;689692;1044297;725292;754186;824751;697249;828354;547812;679122;463766;292191;209835;253112;225687
Brazil;178626286;218084934;167523542;187609786;15958047;137602022;17259743;15352004;210848533;211858065;18577353;237670955;29612634;249094093;274681457;250779797;284857338;280444571;302915177;30254812;340544102;321488289;292830012;327519664;377817669;374725876;334911784;307828635;376138836
Burundi;412393;762491;671646;35287;580127;46407;185636;546034;39185;437799;407185;216549;431055;323691;477019;232164;372734;276846;3510322;172937;3507196;2021328;4059615;1592177;24555;2741017;2467933;1951079;1799206
Ecuador;1627778;1471617;1287687;1589007;2155766;1438233;1512914;1110663;965968;9826832;701817;712847;585224;62779;761435;10013007;10250199;9617028;8588473;11562849;12739798;15531144;15784024;1209545;10890112;8394926;8898845;6435744;4460001
Indonesia;6720383;5584196;5115478;5302288;4225878;4349762;6772467;5508527;5719239;48459492;56141737;517314;4280458;4821076;5822439;67949594;47696737;44175557;56673466;79896699;56475118;36449233;89700386;87009493;66792773;79854751;68910266;77613153;47175942
Madagascar;726447;679213;719651;521359;474539;631976;667374;433471;822666;404017;201253;74441;194287;122254;85444;123482;131427;1554991;1496884;449613;887233;1348528;897094;1744758;1114544;552061;608227;437848;213764
Malawi;103628;122286;129161;75111;87112;81235;5765;5782;62321;520;68138;5939;43464;47155;19615;21416;16663;19812;19753;15922;159285;248264;218262;267944;237098;202015;18516;134703;118493
Papua New Guinea;1012841;794816;943111;1028481;1135159;999863;1082348;1078721;1341785;13277729;10500552;1073166;1076492;1152093;1010687;12534108;8112022;9698383;10636529;10489942;8800884;14176185;714777;8333204;7956402;7101818;11691449;7319382;928369
Paraguay;168627;84653;49291;55046;37689;14843;15563;8379;42347;3241;1402;16;100485;377261;102389;232369;157472;246339;154;167;1965;195;65;69;725;0;101;24;135
Peru;1003632;971474;1161953;845497;938628;1830939;1527861;1709959;1912298;2474384;241858;2638108;283832;2479986;33051559;22718349;41130586;26579307;3823262;29990867;3831823;50535296;39280478;38782383;2443229;30635542;39728784;40290832;40013391
Rwanda;658875;48183;641875;447425;22349;317699;287555;203659;219221;306871;272073;29351;308422;267377;45769;2760107;393013;2230446;3567282;2669411;3279191;250071;2605591;2567282;2373438;2916292;2300905;2527384;2669949
Timor-Leste;0;0;0;0;0;0;0;0;0;0;71279;328539;368093;418233;165932;235228;462077;363032;476918;469126;596117;468631;602583;797282;1104342;586688;815306;644023;1386066
Zimbabwe;285701;213594;114581;5651;97969;11445;179987;126193;13545;1214843;104523;117042;106121;87649;1163133;619299;46149;322441;202492;173683;60859;48564;33208;46415;110124;102836;111183;28019;48388
Congo;924;336;504;0;15585;8755;1086;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cuba;177912;159097;116237;132304;125315;122855;113565;112221;103953;1179874;960345;91974;57705;29507;32984;145833;1785;48567;74523;6103;6497;13158;15142;10685;11421;198181;126;232259;229479
Dominican Republic;480062;34056;421815;286944;39467;553625;339848;405242;152297;198555;124372;90136;150681;77901;40841;928889;836691;799084;1131015;557995;667492;1095415;1134307;550606;189541;199543;242085;174251;359097
Haiti;18988;133352;169855;120697;123246;171709;112623;104818;112247;62027;8285;6264;36945;33842;27211;240064;22112;194114;186822;105835;95281;91949;97319;52098;32067;8647;15781;23802;17799
Philippines;132632;58482;21851;98855;87764;2959;27819;37472;10729;37634;29218;5682;821;17691;39813;313372;421089;126113;68337;54181;100533;46611;24616;10682;182142;80726;146417;33179;62102
Tanzania;969726;807758;953606;878692;613607;934621;76774;606069;725024;7589981;8160904;657422;81951;581333;726349;7540736;763757;7679622;11164989;6479343;7949077;5674391;10624215;7501682;6777185;828472;7766249;6917364;10828593
