Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30
gross_opening_stocks;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Angola;210;161;136;111;96;36;40;40;10;10;5;15;5;30;40;35;40;40;40;40;20;20;10;5;5;5;5;5;5
Bolivia (Plurinational State of);54;398;334;252;11;125;14;2;1;5;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brazil;26926;25548;22625;28921;29227;32161;26361;27298;26594;30070;43762;43295;37303;42292;32056;28923;14855;18470;12227;15766;11098;13340;10063;15868;17720;12910;7800;9872;9832
Burundi;77;150;53108;0;38574;12059;885;301833;3584;101726;12477;90752;16185;36862;49029;7046;17291;150497;515;40465;6742;7;7;5;7;7;5;5;10
Ecuador;723963;250;552207;100;230;100;200;380;160;100;85;55;35;32;20;47;16;75;62;8;12;10;23;2;3;3;3;3;3
Indonesia;1319;798;2427;1562;1644;1386;166667;128784;709035;707751;792868;489934;15015;822068;572068;286;150;30;56;668;725;873;450;650;600;450;500;500;400
Madagascar;544;450;4033;455333;15833;16;2033;16667;40;42133;9433;84;28795;62963;42367;11583;2025;8333;0;111;56;30;30;10;10;10;10;10;10
Malawi;20;19;19;25;10;5;13;2;3;3;9;3;3;1;1;1;3;2;0;0;0;0;0;0;0;0;0;0;0
Papua New Guinea;199;146;95;49;38;395;40;45;383;47664;104943;936269;81054;87709;8856;73387;86109;80127;76;38;25;10;5;5;5;5;5;5;5
Paraguay;188;135;115;105;100;67;55;45;40;36;33;30;28;24;18;14;16;6;0;0;0;0;0;0;0;0;0;0;0
Peru;318;61;100;500;120;160;0;78;98;88;157149;214162;205;147;133;33;30;16;201;0;37;24;93;82;60;50;40;40;40
Rwanda;134;9;10;6;12;3;10679;15127;189;2306;71;0;0;10925;8957;0;60;17;17;28;19;13;13;10;10;10;10;10;10
Timor-Leste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zimbabwe;160;1182;98;53243;0;0;9594;0;0;10;10;10;10;10;10;10;10;5;0;0;0;0;0;0;0;0;0;0;0
Congo;12;11;11;11;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cuba;2657;289;219;192;151;116;841;1474;1402;1162;1262;1296;1026;60;30;15;18;22;12;12;8;8;0;0;0;0;0;0;0
Dominican Republic;560;640;300;196;193;198;180;34;245;254295;337619;355285;311909;276228;209;28084;120;45;52;205928;124593;58;61;58;45;35;27;25;30
Haiti;47;30;30;30;30;27;39236;25;22;19;16;13;13;10;10;8;0;0;0;0;0;0;0;0;0;0;0;0;0
Philippines;1223;1344;1554;1102;1108;1107;1117;1148;1193;1057;930;882;814;698;554;314;150;50;0;0;0;0;0;0;0;0;0;0;0
Tanzania;450;408053;386772;2004;38583;865;354;15;15711;12999;82219;60;11667;766;4167;4;7333;18383;132166;36;16;20;3465;5165;3895;37183;46833;25;25
Zambia;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Benin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cameroon;1344;1086;991;240641;198198;120;175;131484;133333;120;1175;10833;11;11;11;11;33;40116;9;125;13675;26375;47076;22043;20;30;35;30;10
Central African Republic;55;59;64;14;8333;8333;9;5886;3502;5;36942;42988;79;58333;29;13;13;5;8333;3333;1885;0;3;5523;6;0;0;0;0
Colombia;3720797;466941;5913941;5028688;2427508;4674038;5468495;3728282;3611323;2875191;2054666;1855131;1912973;189476;1556227;121556;1522626;1538639;135425;73088;999163;993345;1053766;1266388;1379366;964331;1196173;927088;978
Costa Rica;343;120;229345;190;100;309;297;79;163;141;267;200;191;183;189;180;140;100;120;51186;62237;59223;125222;14472;125173;7488;71491;107343;118
Côte d'Ivoire;4796;3352;3574;655;183335;887;469;13725;4375;115;551649;810735;70202;786607;846867;741072;71564;1228586;584231;1177745;819996;381376;637129;57518;1153453;1236776;665462;200;150
Democratic Republic of Congo;116;17;21;6;81;101;8457;87317;97847;93636;18113;29306;8796;31241;9124;0;0;0;0;49;32;5044;4;4;3;3;3;3;3
El Salvador;245;5123;35443;13478;19992;603466;663044;129068;227232;27853;2329;1258;1859;1507;1276;129;1109;54;152;158;182;716;80;725;185;107;101;222;15
Equatorial Guinea;2;4;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ethiopia;2800;3660;4652;3986;4219;4185;4018;3935;3178;2533;2400;2083;2067;1650;1317;1432;900;933;1200;1233;2050;417;1000;667;500;578;500;575;625
Gabon;2;2;1122;2;1093;1;992;733;1086;1301;2309;0;0;0;0;0;0;0;0;1117;55;683;433;217;17;17;258;258;0
Ghana;4;10;43;203;21;15;36;37225;44;10218;18;21;15;10;8;5;5;3;0;5;8;5;3;2;2;2;2;2;2
Guatemala;77;244557;153317;153317;240;153333;131661;132;161;161;8033;306;345;150;153;99667;127;30;8;2;71;27;16;12;10;15;15;15;5
Guinea;45;10;10;8334;11667;12;12;6;6;22;56;56;59;59;29;29;8;4;1;95;82;60;15;10;10;10;10;10;20
Guyana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Honduras;101198;54;318342;100;38;3291;23;33998;138209;109095;692;3614;255343;112513;86618;36529;8233;9814;9814;159914;95312;163679;231942;232574;293075;186219;46699;263667;234
India;842;1257;1316;1405;1198;1295;917;1020;605;695;340;680;1017;993;856;1279;1304;1471;1553;1889;1802;1240;852;1217;826;1008;655;652;500
Jamaica;0;0;8;127;8921;14179;15;23588;30132;23103;20525;16502;9484;12664;1448;5829;10561;19746;7;5;5;0;0;0;0;0;0;0;0
Kenya;766333;552067;617033;470673;289;576825;295574;103;129;155784;411946;130346;277633;295146;98163;125;115;100;75;25;98;34;14;20;25;20;20;30;33
Lao People's Democratic Republic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;6;0;0;0;0;0;0;0;0
Liberia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mexico;974;748;985;20125;884;899;524;208;195;10;193;354;399;688;966;1426;1418;725;120;332;479;255;400;400;800;800;630;550;800
Nepal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
