Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30
imports;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
   Austria;18800;20580;22060;18360;14170;12310;12100;12940;12930;15000;12570;14320;14470;13360;15380;15770;16010;19680;19010;13090;13690;14520;15590;15550;;;;;
   Belgium;;;;;;;;;;30030;34910;32090;37920;38180;39680;40630;46050;40140;67920;59160;59240;58280;56680;55020;;;;;
   Belgium/Luxembourg;20150;17460;18280;20630;22620;24010;25260;25440;35800;;;;;;;;;;;;;;;;;;;;
   Bulgaria;2680;2000;1820;3970;4630;5150;2720;2940;3420;3670;2810;3550;3430;4000;3670;4410;4350;3930;5170;5230;5280;4820;5600;6090;;;;;
   Croatia;;;1680;1630;1930;3200;3220;3850;3390;3520;3440;3520;3710;3930;3880;3920;4040;4140;4050;3940;3940;3910;3840;4130;;;;;
   Cyprus;500;540;410;770;520;440;520;410;500;550;690;590;570;590;590;800;740;710;780;720;770;820;840;940;;;;;
   Czech Republic;6590;5250;4750;5140;5540;5530;5250;5600;7650;7280;8090;8990;8880;9740;9290;10630;9400;10370;10370;9300;9510;9520;11270;11840;;;;;
   Denmark;9590;9830;10620;9940;10330;8770;10060;9490;10140;10940;10220;11030;10760;10020;11190;9930;10040;9950;9000;8600;10150;9090;9130;9210;;;;;
   Estonia;;;160;510;830;1070;1170;1410;1350;1310;1050;1610;1200;1340;1760;2210;2540;2770;3340;3570;2630;1670;1570;1560;;;;;
   Finland;10950;10330;10550;13010;13610;7690;9920;11860;11680;12090;10630;10840;10750;11050;11520;11560;11680;12070;12850;12430;12740;12870;12380;12750;;;;;
   France;63010;65530;66120;63340;63690;62140;66600;67040;65760;66760;65200;67530;69250;66520;59400;57140;61910;64200;62520;66700;67170;69920;68410;67130;;;;;
   Germany;136710;132290;137890;141070;135830;128520;135070;139050;137400;143200;138950;147530;155160;157270;173560;167160;185430;195640;198760;194160;206030;209260;218160;211740;;;;;
