months;ICO composite indicator;Colombian Milds;Other Milds;Brazilian Naturals;Robustas
01/01/1990;1,38521E+16;1,8117E+16;1,67815E+16;1,5532E+16;1,09205E+16
01/02/1990;1,47925E+16;2,02097E+16;1,8532E+16;1,7128E+14;1,10508E+16
01/03/1990;1,66115E+15;2,27903E+16;2,09117E+15;1,90221E+16;1,23091E+15
01/04/1990;1,66313E+16;2,24702E+15;2,09073E+15;1,93046E+16;1,2351E+16
01/05/1990;1,6181E+15;2,18852E+15;2,05232E+16;1,9053E+15;1,18366E+16
01/06/1990;1,54327E+16;2,11943E+16;1,96799E+15;1,83091E+15;1,11854E+16
01/07/1990;1,50905E+16;2,04084E+14;1,9128E+14;1,7426E+15;1,1053E+15
01/08/1990;1,63576E+16;2,28035E+15;2,08455E+15;1,99227E+16;1,1872E+14
01/09/1990;1,66777E+16;2,25629E+16;2,10574E+16;2,03532E+16;1,22958E+16
01/10/1990;1,63113E+16;2,1457E+16;2,02163E+15;1,8936E+16;1,24084E+14
01/11/1990;1,54746E+16;2,03929E+16;1,8702E+16;1,70993E+16;1,22472E+16
01/12/1990;1,60773E+15;2,1426E+15;1,96865E+15;1,76976E+15;1,24636E+16
01/01/1991;1,53157E+15;2,02097E+16;1,89691E+16;1,66865E+15;1,16623E+16
01/02/1991;1,5574E+16;2,07969E+16;1,96932E+15;1,75254E+16;1,14503E+16
01/03/1991;1,59978E+16;2,19338E+16;2,06534E+15;1,85055E+16;1,134E+16
01/04/1991;1,57726E+16;2,14724E+15;2,03002E+15;1,80088E+16;1,12428E+16
01/05/1991;1,4894E+16;2,02009E+16;1,93996E+16;1,66799E+16;1,03885E+16
01/06/1991;1,44768E+16;1,99073E+15;1,8936E+16;1,59912E+16;1,00177E+15
01/07/1991;1,41965E+16;1,94305E+16;1,83753E+16;1,52848E+16;1,00177E+15
01/08/1991;1,39823E+15;1,94459E+16;1,80508E+16;1,50442E+16;9,9117E+15
01/09/1991;1,47594E+16;2,0298E+16;1,92185E+16;1,6574E+16;1,03002E+16
01/10/1991;1,38698E+16;1,82958E+16;1,76093E+16;1,45497E+16;1,0128E+14
01/11/1991;1,41943E+16;1,81965E+16;1,72627E+16;1,45762E+15;1,11258E+16
01/12/1991;1,39227E+16;1,75938E+15;1,66336E+16;1,37174E+16;1,12119E+16
01/01/1992;1,34923E+16;1,73068E+16;1,62053E+15;1,36932E+16;1,07792E+16
01/02/1992;1,22539E+16;1,58389E+15;1,51104E+16;1,28146E+16;9,39735E+15
01/03/1992;1,2468E+16;1,62627E+15;1,55342E+16;1,31567E+16;9,40177E+15
01/04/1992;1,18411E+16;1,53532E+16;1,45519E+15;1,2128E+14;9,13024E+15
01/05/1992;1,08764E+16;1,43333E+16;1,34349E+16;1,12826E+16;8,31788E+15
01/06/1992;1,06247E+16;1,41501E+16;1,30442E+16;1,08344E+16;8,2053E+15
01/07/1992;1,07506E+15;1,37969E+15;1,28477E+16;1,0713E+16;8,65121E+15
01/08/1992;1,01302E+16;1,24702E+16;1,16843E+16;1,02428E+16;8,57616E+14
01/09/1992;1,03996E+16;1,24018E+15;1,17506E+15;1,09117E+16;9,04636E+15
01/10/1992;1,16733E+16;1,4298E+15;1,35916E+16;1,31656E+16;9,75497E+15
01/11/1992;1,26909E+16;1,58322E+16;1,48587E+16;1,42693E+16;1,05232E+15
01/12/1992;1,4128E+14;1,79956E+15;1,70397E+16;1,64216E+16;1,12163E+15
01/01/1993;1,28344E+16;1,58079E+16;1,53179E+16;1,4819E+16;1,03532E+16
01/02/1993;1,26534E+16;1,59934E+16;1,49338E+16;1,46446E+16;1,03731E+16
01/03/1993;1,20883E+15;1,48057E+16;1,40442E+16;1,3819E+16;1,01325E+16
01/04/1993;1,13422E+16;1,31943E+16;1,27748E+16;1,21236E+15;9,90728E+14
01/05/1993;1,19603E+15;1,48675E+15;1,37263E+16;1,26402E+14;1,01921E+16
01/06/1993;1,20397E+16;1,50397E+16;1,37969E+15;1,22958E+16;1,02804E+16
01/07/1993;1,33797E+16;1,68653E+16;1,58521E+16;1,45166E+16;1,09051E+16
01/08/1993;1,49426E+16;1,85828E+16;1,69801E+16;1,617E+16;1,29051E+16
