Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30
inventories;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
   Austria;3330;3330;3670;3330;2830;2740;2460;2310;2100;1880;1620;1420;1350;1310;1300;1290;1260;1280;1290;1380;1410;1110;970;920;960;960;900;800;800
   Cyprus;100;120;100;80;130;130;120;60;90;90;100;120;130;130;60;70;80;80;80;50;50;60;40;70;120;60;20;30;50
   Denmark;890;890;890;890;890;890;890;890;890;890;890;890;890;890;890;890;890;890;890;890;890;890;890;890;890;890;890;890;890
   Finland;1760;2230;2130;1880;2820;2200;1400;1810;1620;1770;1010;900;770;940;830;830;830;830;830;830;830;830;830;830;830;830;830;830;830
   France;5730;5620;5370;3890;4810;3010;2660;3170;3500;3060;3510;5840;7190;6500;6210;5200;4760;3680;5040;4830;4270;4140;4460;4380;4990;5070;5720;4750;4640
   Germany;40000;16000;25000;20000;39000;23000;16000;19000;16000;22000;25000;28500;35800;32900;31900;28850;31010;33410;32110;29110;26800;24620;28590;26360;31200;35190;39910;36010;35180
   Ireland;;;;;;;;;;;;;60;70;100;80;60;110;80;70;40;60;70;60;60;40;40;40;30
   Italy;2150;1890;1870;2280;2220;2170;2230;2270;2340;2350;2450;2530;2530;2650;2690;2780;2940;3140;3170;3170;3260;3290;3460;3520;3710;3700;4030;3960;3960
   Netherlands;17520;17520;10480;7070;7070;7070;7070;7070;7070;7070;7070;7070;7070;7070;7070;7070;7070;7070;7070;7070;7070;7070;7070;7070;7070;7070;7070;7070;7070
   Portugal;680;1430;1210;2200;1590;860;1150;1310;1010;820;1240;1060;1110;1780;1700;1500;1300;1200;1100;1000;1010;900;1100;1200;1000;1290;1290;1290;1290
   Spain;2000;2500;3330;2500;2670;2840;3030;3230;3440;3670;3910;4170;4440;4740;5050;4010;4620;6180;5550;5700;5700;5700;5700;8370;6400;6370;7340;7230;7150
   Sweden;870;870;870;870;870;870;870;870;870;870;870;870;870;870;870;870;870;870;870;870;870;870;870;870;870;870;870;870;870
   United Kingdom;1890;1680;1700;2040;2130;1870;1320;1100;1280;1140;1320;2080;1410;1480;1800;480;860;540;540;720;470;410;410;390;400;430;260;200;290
Japan;15000;11670;13330;12500;14670;8330;9830;9170;8830;11500;14000;13830;17170;17330;17830;20000;23170;20330;18500;16830;17550;22040;20270;28810;29340;31850;32290;30210;26030
Norway;1240;1240;1240;1240;1240;1240;1240;1240;1240;1240;1240;1240;1240;1240;1240;1240;1240;1240;1240;1240;1240;1240;1240;1240;1240;1240;1240;1240;1240
Switzerland;3210;3510;3020;3270;2860;1930;1400;1180;1650;1390;1710;2280;1820;2280;2300;2040;1540;1450;910;1610;1540;2030;2090;2060;2060;2170;2190;3680;3380
USA;59820;61500;94220;78140;40870;19900;13270;14280;14080;26270;55930;53980;57200;54900;50750;46670;49870;54660;52300;45700;39740;42950;47360;50870;55250;58360;62560;66320;61330
