Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30
prices_paid_to_growers;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Colombia;1,53472E+16;1,48179E+16;1,20466E+16;1,10648E+16;1,89833E+15;2,19919E+15;2,06525E+16;2,93967E+16;2,25343E+16;1,90691E+15;1,65472E+15;1,27926E+15;1,16042E+16;1,06717E+16;1,34288E+16;1,96957E+16;1,98252E+15;2,20869E+16;2,52143E+16;3,06744E+16;3,98562E+16;5,29087E+16;3,67974E+15;2,51454E+15;3,52566E+15;2,63585E+15;2,72753E+16;2,77619E+15;2,50591E+15
Dominican Republic;1,45817E+15;1,38285E+16;1,02784E+16;1,1727E+16;2,47823E+16;2412;1,93534E+16;3,67359E+16;2,10262E+16;1,63761E+16;1,50138E+16;9,28018E+15;1,12205E+16;1,0943E+16;1,671E+16;1,94074E+16;1,90495E+16;1,92336E+15;2,23953E+16;2,34073E+16;3,07128E+16;4,21781E+15;3,26284E+14;3,11208E+16;4,05217E+16;3,77501E+16;3,9114E+16;3,82697E+16;3,39105E+14
El Salvador;1,11619E+16;9,83322E+15;6,82322E+15;7,80397E+15;2,19118E+15;2,21883E+16;1,65607E+15;2,76255E+15;1,87738E+16;1,25656E+16;9,83404E+15;3,8915E+16;4,82049E+16;5,67084E+14;8,67636E+15;1,48117E+16;1,4899E+16;1,66082E+16;1,89958E+16;1,74821E+15;2,42562E+16;4,12226E+16;2,65166E+15;2,10328E+16;2,58293E+15;1,93044E+16;1,97644E+16;1,93416E+15;1,6453E+16
Guatemala;1,20496E+16;1,27009E+16;8,88099E+15;9,14552E+15;1,66271E+15;2,19294E+15;1,84917E+16;2,14682E+15;2,26152E+16;1,74917E+16;1,55353E+16;1,001E+15;1,09518E+16;1,06897E+16;1,47704E+16;2,04115E+16;2,01313E+15;2,17024E+16;2,45096E+15;2,42038E+16;3,19583E+16;4,68907E+15;3,66401E+15;2,80485E+15;3,37381E+16;3,07323E+15;2,99044E+15;2,96079E+15;2,69702E+16
Honduras;1,11147E+16;1,23895E+16;8,86057E+15;8,28746E+15;1,80058E+16;2,26378E+16;1,49362E+16;2,58017E+15;2,05867E+15;1,35719E+16;1,19839E+16;7,57563E+15;8,18013E+15;9,20804E+13;1,10866E+16;1,73707E+16;1,78403E+15;1,80203E+16;1,99904E+16;1,84802E+16;2,76289E+15;4,41543E+16;3,11584E+15;2,24716E+15;2,62561E+15;2,44957E+15;2,05669E+15;2,00367E+15;1,85529E+16
India;1,47356E+16;1,35837E+15;1,19116E+16;1,27867E+16;1,73081E+15;1,8701E+16;1,72888E+16;2,8737E+16;2,19589E+16;1,48869E+15;1,40719E+16;9,67289E+15;8,74382E+14;9,5917E+15;1,2874E+16;2,13081E+16;2,11619E+16;2,38478E+16;2,68644E+16;3,02179E+15;3,33505E+15;5,04323E+15;3,57563E+15;2,58401E+16;3,87746E+14;3,46792E+15;2,91846E+16;2,99674E+16;2,4309E+15
Uganda;3,37598E+14;6,54322E+15;4,41397E+16;5,52298E+15;1,66665E+16;1,50682E+14;1,16993E+16;1,77294E+16;1,7383E+16;1,02789E+16;9,05035E+15;6,07179E+15;6,07448E+14;6,32236E+15;7,94424E+15;1,27725E+16;1,22157E+16;1,43504E+13;1,6185E+16;1,33653E+16;1,92561E+16;3,24562E+15;2,06804E+16;1,54591E+15;2,28925E+16;1,79404E+16;1,56942E+15;1,6997E+16;1,50669E+15
Brazil;1,19922E+16;9,7115E+15;9,97768E+15;1,16726E+15;2,52911E+15;2,55017E+16;2,12683E+16;3,20992E+16;2,32338E+16;1,63502E+16;1,45644E+16;8,17788E+15;6,82316E+15;9,45219E+15;1,24349E+16;1,92252E+16;1,92092E+15;2,16988E+15;2,41188E+16;2,22515E+16;2,95796E+15;4,95055E+16;3,36176E+15;2,2547E+15;2,97344E+16;2,30655E+15;2,38037E+16;2,43876E+15;2,00398E+15
Ethiopia;1,34857E+16;1,50532E+16;1,35113E+15;1,36244E+16;2,41823E+15;2,53901E+15;1,49529E+16;2,01006E+16;2,0279E+16;1,44911E+16;1,2455E+16;9,66435E+15;5,93336E+15;7,63088E+15;1,07839E+16;1,41783E+16;1,28736E+16;1,54148E+16;1,583E+16;1,70115E+16;1,88653E+15;3,21109E+14;2,26909E+16;1,61811E+15;1,83743E+15;1,67836E+16;1,92732E+15;1,79928E+16;1,56023E+16
