Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30
re-exports;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Africa;466169998;489410007;641466676;523906664;7,1022E+15;8,26148E+15;9,4897E+15;1525433135;1,50571E+16;1,2583E+16;1,34105E+16;1277855811;1761903055;1,97801E+16;1,67569E+16;1815248384;2752081905;3307744452;2759043682;3170;462783566;5579724548;4240003747;5390;3570;3720;4750;3320;2920
Algeria;19345;0;0;0;0;0;0;0;0;0;0;238;11;2;4;96667;93113;28888;190833;81317;406187;698728;829333;0;0;0;0;0;0
Botswana;2609998;2530001;3130001;47;16;3;23;44;162;1899999;98;873822;827527;345066;226688;7654788;148585;1439665;3707717;2575921;3747107;1664674;1695872;0;0;0;0;10;0
Burkina Faso;659999;0;0;0;0;0;0;0;0;0;14;1;208;26816667;31416667;3664998;866666;866666;866666;2197867;18208333;22774533;46166667;80;40;120;130;410;0
Cape Verde;0;0;0;3;0;8;0;0;0;0;374;436;0;255827;5333333;3966667;3475;2684917;6127165;509718;137225;23935;465966;0;0;0;0;0;0
Comoros;121;658;0;416;2005;1197833;95;5;0;0;0;0;0;0;0;18166667;10;10;43334;4333333;4333333;7666667;7666667;10;10;10;10;0;0
Djibouti;2693;1795;3367;4842;2459;2109;277;186;8999;5722;3023;609;347;2409;4091;13689;319450075;41695;47223;220;48199;23269;19687;250;210;360;430;0;0
Egypt;96380001;702;156;999999;890001;10829998;3626;57;2080002;9139999;3776666;16;437;27922725;1100415;3002225;8424734;18948422;528113598;1197290523;2530214305;3715529422;2427027608;3100;1300;1280;2110;610;490
Eswatini;1;16;7930001;14439999;18;3671;12;67;609999;91;643962;12125134;9176294;98580631;47509997;13219406;32917961;18175441;5;3665;42949999;6709997;36;20;0;0;0;0;0
Gambia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;534667;0;22546;18356241;0;0;10;0;0;0
Guinea-Bissau;3251;0;0;0;813;2318;0;0;2873;2225;1;0;0;1245;575;4;534;2762;25;396667;7858;3058;798;0;0;0;0;0;0
Lesotho;0;0;0;0;0;0;0;0;0;0;0;0;0;35635;11595;0;0;0;0;0;0;0;3675;0;0;0;0;0;0
