Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30
retail_prices;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
   Austria;1,08168E+16;1,00883E+15;1,10155E+16;1,09713E+16;1,01104E+16;1,14349E+16;1,19647E+16;9,6468E+14;8,7638E+15;7,24062E+15;6,73289E+15;6,46799E+15;6,31347E+15;7,01987E+15;7,35099E+15;8,3223E+15;9,117E+14;9,42605E+14;1,04636E+16;1,53422E+16;1,47682E+14;1,83664E+16;1,84989E+16;1,90287E+16;1,90508E+16;1,64238E+16;1,24503E+16;1,37307E+16;1,46358E+16
   Cyprus;6,24724E+15;6,18102E+14;6,33554E+15;5,73951E+15;7,01987E+15;9,40397E+15;9,117E+14;8,91832E+15;1,01766E+16;9,69095E+15;7,90287E+16;7,90287E+16;8,9404E+15;1,08609E+15;1,15453E+16;1,16556E+16;1,17881E+16;1,27152E+16;1,25166E+16;1,22075E+16;1,15011E+15;1,33775E+16;1,40397E+16;1,42826E+16;1,43046E+16;1,16998E+16;1,16998E+16;1,21413E+16;1,27815E+16
   Denmark;8,4106E+15;8,10155E+15;8,36645E+14;7,68212E+15;9,8234E+15;1,22958E+16;1,06181E+16;1,09492E+16;1,08609E+15;8,6755E+14;7,61589E+15;7,04194E+15;6,82119E+15;7,88079E+15;8,74172E+15;9,44812E+14;9,77925E+15;1,06402E+14;1,19205E+16;1,16777E+16;1,20088E+16;1,52759E+16;1,48344E+16;1,40397E+16;1,41943E+16;1,29139E+16;1,09051E+16;1,11038E+16;1,16998E+16
   Finland;6,57837E+15;6,00442E+15;5,43046E+14;4,28256E+15;6,02649E+15;8,7638E+15;7,10817E+15;7,72627E+15;7,54967E+15;5,73951E+15;5,05519E+16;4,37086E+15;4,06181E+15;4,70199E+15;5,16556E+15;6,26932E+15;6,49007E+15;7,17439E+15;8,21192E+15;7,74834E+15;8,1457E+14;1,18322E+15;1,0596E+16;9,4702E+15;9,51435E+15;8,60927E+15;8,10155E+15;9,05077E+15;9,35982E+15
   France;8,234E+14;7,57174E+16;5,09934E+14;4,48124E+15;5,29801E+15;8,1457E+14;7,28477E+15;6,09272E+15;6,13687E+15;5,62914E+15;4,74614E+15;4,39294E+15;4,56954E+16;5,51876E+15;6,00442E+15;6,07064E+15;6,55629E+15;7,52759E+15;8,52097E+15;8,36645E+14;7,99117E+15;9,117E+14;8,65342E+15;8,65342E+15;8,3223E+15;6,86534E+16;7,19647E+16;7,50552E+15;8,12362E+15
   Germany;8,80795E+15;8,47682E+15;8,83002E+15;7,99117E+15;9,22737E+14;1,10817E+16;9,2053E+14;8,89625E+13;8,91832E+15;7,54967E+15;6,24724E+15;5,80574E+15;6,02649E+15;7,01987E+15;7,35099E+15;8,96247E+15;9,5585E+14;1,03532E+16;1,13245E+16;1,04857E+16;1,05077E+16;1,12583E+16;1,04636E+16;1,24724E+16;1,26269E+16;1,14349E+16;1,11479E+16;1,17881E+16;1,21192E+16
   Italy;1,17219E+16;1,24062E+16;1,2936E+15;1,01325E+16;1,03311E+16;1,25828E+15;1,30684E+16;1,20309E+16;1,22075E+16;1,13907E+15;9,80132E+15;9,5585E+14;1,00883E+15;1,20751E+16;1,32671E+16;1,3532E+16;1,38852E+16;1,54967E+15;1,73731E+15;1,69536E+16;1,62031E+16;1,88079E+16;1,87417E+16;1,98455E+15;1,95364E+16;1,65121E+16;1,64459E+16;1,69316E+15;1,79249E+16
   Netherlands;6,68874E+15;6,51214E+13;6,90949E+15;6,18102E+14;7,19647E+16;8,89625E+13;8,0574E+15;8,10155E+15;8,10155E+15;6,86534E+16;6,20309E+15;5,62914E+15;5,73951E+15;7,06402E+14;7,66004E+15;8,27815E+15;8,74172E+15;9,8234E+15;1,11479E+16;1,03753E+16;1,00883E+15;1,32009E+16;1,28698E+16;1,26711E+16;1,26049E+16;1,18764E+16;1,05298E+16;1,06623E+16;1,03311E+16
   Portugal;9,09492E+15;9,42605E+14;1,09272E+16;9,42605E+14;9,66887E+14;1,37748E+15;1,30684E+16;1,11258E+16;1,07726E+16;1,02649E+16;8,71965E+15;8,54305E+15;8,60927E+15;1,01766E+16;1,08168E+16;1,07726E+16;1,05298E+16;1,12141E+16;1,25386E+16;1,16998E+16;1,0883E+16;1,18102E+16;1,25607E+16;1,27815E+16;1,2649E+16;1,10155E+16;1,0883E+16;1,11258E+16;1,18322E+15
