Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30
total_production;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Angola;50345;79331;7752;32608;76802;62109;70925;6433;85344;54939;49785;2069;5664;38013;1477;24965;35095;35631;3761;1342;3497;28715;3279;34935;39405;40515;4483;35006;403874
Bolivia (Plurinational State of);122777;103536;120235;50823;116944;142485;124579;140719;137985;157702;147604;94016;126668;103323;1548071;1099692;1464297;1160292;1204186;1284751;1172249;1318354;1052812;1199122;998766;842191;779835;838112;825687
Brazil;272856286;272934934;346033542;281669786;28192047;180602022;29196743;26148004;367608533;475778065;31310353;313650955;48351634;288734093;392811457;329329797;484317338;389114571;514905177;43976812;554284102;485918289;554180012;546889664;533047669;528705876;567881784;527398635;629248836
Burundi;487393;667199;620238;393354;664143;43398;400969;249785;491992;35055;48746;143982;453732;337858;437036;103315;4985;132856;4117822;111613;3529776;2041328;4059615;1632177;24755;2741017;2487933;2021079;1784206
Ecuador;1503815;2123824;118548;2069007;2375766;1888233;1992914;1190663;1205968;11976832;853817;792847;582224;64079;780435;9353007;10345199;9504028;7706473;8132849;8539798;8254144;8281024;665545;6440112;6444926;6448845;6235744;6010001
Indonesia;7441383;8493196;5569478;6743288;5367878;4573429;8220584;7620778;7295955;65570662;69872397;6833356;6731376;6404076;7536371;91589594;74826737;77765557;96123466;113796699;91285118;68889233;130700386;129009493;109462773;125854751;115410266;108523153;94175942
Madagascar;982447;932513;1121684;441859;641372;785009;849008;623804;991799;427317;3621618;147236;445455;434658;52166;599149;58651;6141661;7276884;4569613;5297233;5848528;4997094;5844758;5014544;4252061;4208227;4087848;3963764
Malawi;104628;124286;137161;62111;84112;91235;4865;6082;64321;59;63138;6039;42464;48155;20615;24416;16663;18812;20753;16922;169285;258264;228262;277944;247098;212015;19516;144703;128493
Papua New Guinea;962841;746816;900111;1019481;1138659;1002363;1089348;1074021;1352149;13870519;10407392;1062593;1085147;1154944;997514;12681328;8072202;9677113;10276529;10379942;8665184;14138545;716488;8353594;7975642;7119818;11711449;7339382;930369
Paraguay;130627;79653;54291;70046;24689;22843;25563;23379;58347;20241;42402;196;260485;517261;262389;452369;257472;386339;200154;200167;201965;200195;200065;200069;200725;20;200101;200024;200135
Peru;936632;1200474;1761953;665497;1178628;1870939;1805861;1929959;2102298;2743533;2675593;2828946;300032;2685986;34251559;24888349;43190586;30629307;3872262;32860867;4068823;53725296;44500478;41062383;2883229;33035542;42228784;42790832;42633391
Rwanda;534875;48383;638875;443625;22449;329078;293003;193422;222637;307275;273363;29551;31968;265742;449733;3370107;351013;2240446;3687282;2589411;3229191;251071;2585591;2577282;2383438;2926292;2310905;2537384;2679949
Timor-Leste;0;0;0;0;0;0;0;0;0;0;71279;328539;368093;418233;165932;235228;462077;363032;476918;469126;601017;473531;607483;802182;1109242;591588;820206;648923;1390966
Zimbabwe;251901;201394;77824;116;106302;130644;174393;130193;14945;1254843;108523;121042;110121;91649;1203133;659299;45149;312441;242492;213683;100859;88564;73208;86415;150124;142836;151183;68019;88388
Congo;2924;3003;3171;3;7585;11755;1386;327;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Cuba;414212;302097;284237;285404;284315;284955;365865;300021;279953;3279874;3124345;284974;239105;223507;179984;995833;10485;1098567;1334523;92103;108497;100158;88142;106685;101421;998181;1026;1132259;1179479
Dominican Republic;880062;32056;637815;603944;72967;885625;518848;941242;486592;606879;467038;386958;455198;350673;490679;3100469;3866671;4649084;6450295;3524645;3781562;4905415;4884307;4253936;3969541;3999543;4122085;4124251;4309097
Haiti;39288;463352;499855;450697;450246;513945;428387;431818;439247;399027;41985;40264;373945;373842;365211;3560064;362112;3594114;3586822;3505835;3495281;3491949;3497319;3452098;3432067;3408647;3415781;3423802;3467799
Philippines;973632;1018482;919851;874855;876764;84959;889819;935472;676729;6217634;3409218;262682;25521;292691;354813;4323372;4411089;4456113;5868337;7304181;1890533;1796611;1774616;185682;1932142;2080726;2146417;2033179;2062102
Tanzania;931779;789977;786434;734375;679024;897121;76394;62378;739312;8422181;8088714;624089;823609;611734;763182;8044066;821807;8097958;11862823;6749343;8459077;6410391;11511215;8109352;7526685;930172;8460919;7834034;11748593
Zambia;22686;29138;29307;26606;21455;26333;33025;38462;61686;58725;93374;99672;118927;100333;110377;102936;560696;614737;346967;28217;131783;111889;53695;107527;26111;3689;133181;186156;201485
Benin;0;0;1805;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cameroon;1682484;1725948;260376;682913;405557;66004;1432189;888942;111394;1369824;1113143;685677;800795;900282;727382;8697157;8181664;7953046;7249004;9022813;5271347;6693245;3710197;4038311;4831051;3908379;2918761;3695529;2702974
Central African Republic;175274;124781;133845;165574;249512;108065;207831;114354;214582;240682;113313;68172;92094;4273;28715;231639;1135037;43467;59616;112109;78462;91325;2289;90104;62614;100018;367267;59914;575
